01/05/2025; 15:02; 127.0.0.1; Willi; 127.0.0.1; Vini; msg:Ola
01/05/2025; 15:03; 127.0.0.1; Vini; TODOS; TODOS; logoff
01/05/2025; 15:03; 127.0.0.1; Willi; TODOS; TODOS; logoff
01/05/2025; 15:08; 127.0.0.1; VBini; TODOS; TODOS; login
01/05/2025; 15:08; 127.0.0.1; Willi; TODOS; TODOS; login
01/05/2025; 15:08; 127.0.0.1; VBini; 127.0.0.1; Willi; msg:Ola
01/05/2025; 15:08; 127.0.0.1; Willi; 127.0.0.1; VBini; msg:Ola
01/05/2025; 15:09; 127.0.0.1; Willi; 127.0.0.1; VBini; msg:oi
01/05/2025; 15:10; 127.0.0.1; VBini; TODOS; TODOS; logoff
01/05/2025; 15:10; 127.0.0.1; Willi; TODOS; TODOS; logoff
01/05/2025; 15:11; 127.0.0.1; vini; TODOS; TODOS; login
01/05/2025; 15:11; 127.0.0.1; willi; TODOS; TODOS; login
01/05/2025; 15:11; 127.0.0.1; vini; 127.0.0.1; willi; msg:oi
01/05/2025; 15:11; 127.0.0.1; willi; 127.0.0.1; vini; msg:oi
01/05/2025; 15:11; 127.0.0.1; vini; TODOS; TODOS; logoff
01/05/2025; 15:11; 127.0.0.1; willi; TODOS; TODOS; logoff
01/05/2025; 15:12; 127.0.0.1; Vni; TODOS; TODOS; login
01/05/2025; 15:12; 127.0.0.1; adsad; TODOS; TODOS; login
01/05/2025; 15:12; 127.0.0.1; Vni; TODOS; TODOS; logoff
01/05/2025; 15:12; 127.0.0.1; adsad; TODOS; TODOS; logoff
01/05/2025; 15:15; 127.0.0.1; asdasdsad; TODOS; TODOS; login
01/05/2025; 15:15; 127.0.0.1; dddd; TODOS; TODOS; login
01/05/2025; 15:15; 127.0.0.1; asdasdsad; ; ; msg:asdad
01/05/2025; 15:15; 127.0.0.1; dddd; ; ; msg:asdasd
01/05/2025; 15:15; 127.0.0.1; asdasdsad; 127.0.0.1; dddd; msg:asdasdsa
01/05/2025; 15:15; 127.0.0.1; dddd; TODOS; TODOS; logoff
01/05/2025; 15:16; 127.0.0.1; asdasdsad; TODOS; TODOS; logoff
01/05/2025; 15:17; 127.0.0.1; sadasdsa; TODOS; TODOS; login
01/05/2025; 15:17; 127.0.0.1; ddddddd; TODOS; TODOS; login
01/05/2025; 15:17; 127.0.0.1; sadasdsa; ; ; msg:ddddddd
01/05/2025; 15:17; 127.0.0.1; ddddddd; ; ; msg:ddddddddddd
01/05/2025; 15:17; 127.0.0.1; sadasdsa; ; ; msg:dddddddd
01/05/2025; 15:17; 127.0.0.1; sadasdsa; 127.0.0.1; ddddddd; msg:ddddddddddddd
01/05/2025; 15:17; 127.0.0.1; ddddddd; 127.0.0.1; sadasdsa; msg:ddddddddddddddd
01/05/2025; 15:17; 127.0.0.1; ddddddd; TODOS; TODOS; logoff
01/05/2025; 15:17; 127.0.0.1; sadasdsa; TODOS; TODOS; logoff
01/05/2025; 15:58; 127.0.0.1; asdasd; TODOS; TODOS; login
01/05/2025; 15:58; 127.0.0.1; dddd; TODOS; TODOS; login
01/05/2025; 15:58; 127.0.0.1; sssss; TODOS; TODOS; login
01/05/2025; 15:58; 127.0.0.1; asdasd; 127.0.0.1; dddd; msg:oi
01/05/2025; 15:58; 127.0.0.1; sssss; 127.0.0.1; dddd; msg:iiii
01/05/2025; 15:58; 127.0.0.1; dddd; ; ; msg:iiii
01/05/2025; 15:58; 127.0.0.1; dddd; 127.0.0.1; sssss; msg:uuuu
01/05/2025; 15:58; 127.0.0.1; sssss; 127.0.0.1,127.0.0.1; asdasd,dddd; msg:uuuu
01/05/2025; 16:05; 127.0.0.1; dddd; ; ; msg:kkkkk
01/05/2025; 16:05; 127.0.0.1; dddd; ; ; msg:kkkkk
01/05/2025; 16:05; 127.0.0.1; dddd; TODOS; TODOS; logoff
01/05/2025; 16:05; 127.0.0.1; asdasd; TODOS; TODOS; logoff
01/05/2025; 16:05; 127.0.0.1; sssss; TODOS; TODOS; logoff
01/05/2025; 16:07; 127.0.0.1; aaaaa; TODOS; TODOS; login
01/05/2025; 16:07; 127.0.0.1; sssss; TODOS; TODOS; login
01/05/2025; 16:08; 127.0.0.1; aaaaa; 127.0.0.1; sssss; msg:aaaa
01/05/2025; 16:08; 127.0.0.1; sssss; 127.0.0.1; aaaaa; msg:sssss
01/05/2025; 16:08; 127.0.0.1; aaaaa; TODOS; TODOS; logoff
01/05/2025; 16:09; 127.0.0.1; sssss; TODOS; TODOS; logoff
01/05/2025; 16:09; 127.0.0.1; sssss; TODOS; TODOS; login
01/05/2025; 16:09; 127.0.0.1; aaaa; TODOS; TODOS; login
